Nebraska,11.39,40.81778,-96.71333,,,,,,,,,,,,,,,,,,
Nebraska Omaha,-9.28,41.236172,-96.01294,,,,,,,,,,,,,,,,,,
Nevada,9.04,39.5450694,-119.8182694,,,,,,,,,,,,,,,,,,
New Hampshire,-12.47,43.13861,-70.93806,,,,,,,,,,,,,,,,,,
New Mexico,9,35.067,-106.632,,,,,,,,,,,,,,,,,,
New Mexico St.,3.92,32.284,-106.7422,,,,,,,,,,,,,,,,,,
New Orleans,-11.34,30.03,-90.05056,,,,,,,,,,,,,,,,,,
Niagara,-7.65,43.137035,-79.038026,,,,,,,,,,,,,,,,,,
Nicholls,-11.13,29.79235,-90.80135,,,,,,,,,,,,,,,,,,
NJIT,-14.62,40.7453,-74.183,,,,,,,,,,,,,,,,,,
Norfolk St.,-11.37,36.847999,-76.258157,,,,,,,,,,,,,,,,,,
North Alabama,-10.07,34.808379,-87.683741,,,,,,,,,,,,,,,,,,
North Carolina,35.49,35.89972,-79.04389,,,,,,,,,,,,,,,,,,
North Carolina A&T,-14.63,36.076783,-79.768849,,,,,,,,,,,,,,,,,,
North Carolina Central,-11.95,35.975884,-78.897745,,,,,,,,,,,,,,,,,,
North Dakota,-10.48,47.92767,-97.07247,,,,,,,,,,,,,,,,,,
North Dakota St.,-2.08,46.9004417,-96.799025,,,,,,,,,,,,,,,,,,
North Florida,-9.87,30.2734,-81.5079,,,,,,,,,,,,,,,,,,
North Texas,1.37,33.20833,-97.15389,,,,,,,,,,,,,,,,,,
Northeastern,-4.03,42.34111,-71.08444,,,,,,,,,,,,,,,,,,
Northern Arizona,-8.37,35.1805,-111.6525,,,,,,,,,,,,,,,,,,
Northern Colorado,-6.34,40.4022171,-104.7030436,,,,,,,,,,,,,,,,,,
Northern Illinois,-8.14,41.9351056,-88.7855694,,,,,,,,,,,,,,,,,,
Northern Iowa,4.57,42.51395,-92.46714,,,,,,,,,,,,,,,,,,
Northern Kentucky,-4.98,39.032273,-84.458864,,,,,,,,,,,,,,,,,,
Northwestern,10.91,42.06694,-87.69278,,,,,,,,,,,,,,,,,,
Northwestern St.,-10.68,31.744028,-93.095167,,,,,,,,,,,,,,,,,,
Notre Dame,16.17,41.698443,-86.231292,,,,,,,,,,,,,,,,,,
Oakland,-3.55,42.673972,-83.213158,,,,,,,,,,,,,,,,,,
Ohio,-0.63,39.32306,-82.10556,,,,,,,,,,,,,,,,,,
Ohio St.,26.24,40.007511,-83.025102,,,,,,,,,,,,,,,,,,
Oklahoma,22.69,35.1875,-97.44444,,,,,,,,,,,,,,,,,,
Oklahoma St.,20.62,36.12583,-97.065,,,,,,,,,,,,,,,,,,
Old Dominion,0.39,36.8841694,-76.3012306,,,,,,,,,,,,,,,,,,
Oral Roberts,-2.22,36.04789,-95.95573,,,,,,,,,,,,,,,,,,
Oregon,23.39,44.045,-123.066,,,,,,,,,,,,,,,,,,
Oregon St.,4.2,44.5613,-123.2805,,,,,,,,,,,,,,,,,,
Pacific,-0.11,37.976669,-121.315095,,,,,,,,,,,,,,,,,,
Penn,-2.05,39.951411,-75.188606,,,,,,,,,,,,,,,,,,
